countryorigin_iso3,tq,row_count,measure_sum
POL,2015q3,458,390728554
BGD,2015q1,893,389564423
NOR,2015q3,281,376863598
CZE,2015q2,321,361676507
KHM,2015q4,419,357859048
BGD,2015q4,747,344143614
NOR,2015q4,330,343632291
SLB,2015q3,29,339868716
BGD,2015q2,778,325632512
MAC,2015q1,126,325514785
BGR,2015q1,74,309191343
POL,2015q2,250,299398354
MMR,2015q2,64,298666842
POL,2015q4,414,286144194
BGR,2015q2,84,280645773
AUT,2015q1,381,277545663
CHL,2015q3,150,259904669
LKA,2015q2,133,257089548
KEN,2015q1,3,253793655
OMN,2015q1,62,240390298
KHM,2015q3,483,239864555
BGR,2015q3,90,234352255
HUN,2015q4,403,222910986
BLR,2015q2,4,222415421
ANT,2015q3,22,215604087
BLR,2015q4,15,211811854
MMR,2015q1,72,211581052
MAC,2015q3,177,205444238
CHL,2015q4,115,192302466
KHM,2015q2,274,188146363
ZAR,2015q3,4,182729512
COL,2015q4,63,179615032
MMR,2015q3,56,177486258
HRV,2015q2,12,170970763
SLB,2015q4,33,170050897
MAC,2015q2,252,159424700
MMR,2015q4,69,157311926
COL,2015q3,56,156803332
DZA,2015q4,2,151096158
BRN,2015q3,24,150993342
DZA,2015q3,2,147402169
PRY,2015q4,6,144158020
HUN,2015q2,140,141405756
GRC,2015q4,67,138973260
PER,2015q4,35,135736596
DOM,2015q4,21,135364984
COL,2015q2,41,135296378
COL,2015q1,29,130765388
OMN,2015q2,25,129701160
SYC,2015q1,18,127908229
HRV,2015q4,57,125571395
HUN,2015q1,66,123151777
MLT,2015q3,43,122684020
CZE,2015q1,132,121007355
GRC,2015q3,61,120394065
KHM,2015q1,394,118713620
SVN,2015q4,124,117952026
MHL,2015q2,7,117417414
ECU,2015q4,24,112615328
BLR,2015q3,13,109562693
PRI,2015q4,43,108172819
PAN,2015q4,18,107013085
ANT,2015q4,25,104866605
LKA,2015q3,185,103119352
JOR,2015q3,10,102629455
BLR,2015q1,3,102396905
HUN,2015q3,324,101539245
JOR,2015q2,8,98852996
LKA,2015q4,151,97437422
ECU,2015q3,22,96870123
PRT,2015q3,192,95738785
KEN,2015q2,3,93250630
MLT,2015q4,38,89374051
EGY,2015q2,28,85756159
OMN,2015q3,41,84112147
PER,2015q1,15,82112854
GRC,2015q1,49,78550603
TZA,2015q3,19,78452765
MWI,2015q3,14,76554146
MAR,2015q4,61,75724769
ZMB,2015q4,8,75552495
LTU,2015q2,23,72662757
NTZ,2015q2,40,71804159
ROU,2015q3,99,69882647
PRT,2015q4,272,68708742
MHL,2015q1,8,67471273
SLB,2015q1,16,66447940
SYC,2015q3,11,64895608
GRC,2015q2,58,64854731
PER,2015q2,28,64814200
CRI,2015q3,116,64068811
SYC,2015q2,8,63751695
SVN,2015q2,51,62694017
VUT,2015q3,3,62165546
JOR,2015q1,12,61886142
EGY,2015q3,53,61754221
HRV,2015q1,17,60260365
KEN,2015q3,23,58958495
NTZ,2015q1,61,58460430
CYP,2015q1,24,58004796
CRI,2015q4,98,57784408
OMN,2015q4,35,57672534
PER,2015q3,22,57168528
BRN,2015q2,16,56541702
PRI,2015q3,22,55089532
SVN,2015q3,100,54175543
EGY,2015q1,36,53339281
ROU,2015q1,27,53166097
LTU,2015q4,26,50217150
KWT,2015q1,12,49399483
VUT,2015q4,1,47690229
CRI,2015q2,39,47649412
FJI,2015q4,2,47360332
