countryorigin_iso3,row_count,valid_measure_count,measure_sum,measure_mean
NCL,5,5,3915623,783124.6
UGA,6,6,3128924,521487.3333333333
FLK,1,1,3056506,3056506.0
GRL,2,2,2867563,1433781.5
ATF,1,1,2692682,2692682.0
ASM,14,14,2575220,183944.2857142857
LSO,4,4,2444658,611164.5
MLI,7,7,2340675,334382.14285714284
SDN,1,1,1866505,1866505.0
CXR,3,3,1693693,564564.3333333334
SLE,9,9,1563350,173705.55555555556
BOL,5,5,1556661,311332.2
MDG,5,5,1554384,310876.8
LBR,2,2,1332522,666261.0
SUR,1,1,1323213,1323213.0
UZB,2,2,1314503,657251.5
ATG,1,1,1309184,1309184.0
ARM,5,5,998542,199708.4
NPL,11,11,744009,67637.18181818182
HTI,7,7,665065,95009.28571428571
PLW,1,1,654162,654162.0
ATA,1,1,594836,594836.0
AFG,5,5,588546,117709.2
LBY,2,2,548071,274035.5
IRQ,2,2,513563,256781.5
CAF,1,1,443357,443357.0
PYF,1,1,359750,359750.0
YEM,4,4,331893,82973.25
GMB,1,1,326710,326710.0
IOT,1,1,326167,326167.0
MKD,3,3,281530,93843.33333333333
UMI,1,1,153037,153037.0
NRU,1,1,150112,150112.0
GNQ,1,1,103418,103418.0
FSM,2,2,102154,51077.0
KNA,1,1,83070,83070.0
NER,1,1,80418,80418.0
MCO,1,1,61383,61383.0
RWA,1,1,58770,58770.0
BWA,2,2,55743,27871.5
MNP,11,11,52581,4780.090909090909
SEN,4,4,33022,8255.5
BEN,1,1,30824,30824.0
GUF,1,1,29039,29039.0
WSM,1,1,26493,26493.0
CPV,1,1,10027,10027.0
TTO,1,1,3761,3761.0
TJK,1,1,1683,1683.0
